Journal-Voucher-Type-Code,DepartmentNumber,Fiscal-Month,Journal-Voucher-Item-Identifier,Subleger-Account-Identifier,Credit/Debit-Code,Journal-Voucher-Item-Amount,Control-Data-Type,Accounting-Summary-Transaction-Line,Year,Month,Day
JVEFI,37.0,1.0,1.0,370000.0,CR,3757.14,CMC,1.0,2023.0,4.0,3.0
JVEFI,47.0,1.0,1.0,470470.0,CR,502.14,CMC,1.0,2023.0,4.0,3.0
JVEFI,163.0,1.0,1.0,1634019.0,CR,21072.03,CMC,1.0,2023.0,4.0,3.0
JVEFI,1.0,1.0,1.0,13020.0,CR,14493.43,CMC,4.0,2023.0,4.0,3.0
JVEFI,5.0,1.0,1.0,50050.0,CR,2424.6,CMC,2.0,2023.0,4.0,3.0
JVEFI,5.0,1.0,1.0,50054.0,CR,3613.52,CMC,3.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,180107.0,CR,1752.76,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,181677.0,CR,15397.7,CMC,2.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,182182.0,DR,1265.63,CMC,2.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,183330.0,DR,26875.5,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,186369.0,CR,4008.28,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,188160.0,CR,697.52,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,189520.0,CR,3468.91,CMC,1.0,2023.0,4.0,3.0
JVEFI,5.0,1.0,1.0,50050.0,CR,1299.54,CMC,1.0,2023.0,4.0,3.0
JVEFI,5.0,1.0,1.0,50054.0,DR,757.98,CMC,7.0,2023.0,4.0,3.0
JVEFI,7.0,1.0,1.0,70099.0,CR,1079.73,CMC,1.0,2023.0,4.0,3.0
JVEFI,14.0,1.0,1.0,145209.0,CR,1239.6,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,180117.0,CR,1126.3,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,180153.0,CR,1285.05,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,182184.0,CR,18384.93,CMC,2.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,183048.0,CR,1264.75,CMC,1.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,186369.0,CR,3334.83,CMC,2.0,2023.0,4.0,3.0
JVEFI,18.0,1.0,1.0,188160.0,CR,1357.14,CMC,1.0,2023.0,4.0,3.0
JVEFI,22.0,1.0,1.0,229000.0,CR,2229.77,CMC,2.0,2023.0,4.0,3.0
JVEFI,30.0,1.0,1.0,301612.0,DR,765.37,CMC,1.0,2023.0,4.0,3.0
JVEFI,85.0,1.0,1.0,853910.0,CR,1510.53,CMC,1.0,2023.0,4.0,3.0
JVEFI,86.0,1.0,1.0,860100.0,CR,2465.05,CMC,1.0,2023.0,4.0,3.0
JVEFI,148.0,1.0,1.0,1482100.0,CR,1030.62,CMC,1.0,2023.0,4.0,3.0
JVEFI,165.0,1.0,1.0,1651651.0,CR,2766.74,CMC,2.0,2023.0,4.0,3.0
JVFID,97.0,1.0,1.0,Unknown,DR,627.39,JMU,1.0,2023.0,4.0,3.0
JVFIR,97.0,1.0,1.0,Unknown,DR,10132323.35,JMT,1.0,2023.0,4.0,3.0
JVFIR,97.0,1.0,1.0,Unknown,DR,107431194.78,JMT,1.0,2023.0,4.0,3.0
